"Date","Median","Average","Men Median","Men Average","Women Median","Women Average","White Median","White Average","Black Median","Black Average","Hispanic Median","Hispanic Average","White Men Median","White Men Average","Black Men Median","Black Men Average","Hispanic Men Median","Hispanic Men Average","White Women Median","White Women Average","Black Women Median","Black Women Average","Hispanic Women Median","Hispanic Women Average","Recent high-school graduate","Men Recent high-school graduate","Women Recent high-school graduate","Recent college graduate","Men Recent college graduate","Women Recent college graduate"
"2023","$23.75","$33.50","$25.06","$36.98","$21.80","$29.74","$25.97","$36.09","$20.11","$27.24","$19.93","$25.65","$28.66","$40.24","$21.11","$29.09","$20.70","$27.34","$23.92","$31.58","$19.93","$25.59","$18.30","$23.60","$16.16","$17.11","$14.76","$25.93","$28.59","$24.01"
"2022","$23.31","$33.31","$25.29","$37.29","$21.08","$29.00","$25.96","$35.90","$20.39","$26.66","$19.68","$25.86","$28.12","$40.70","$20.77","$28.55","$20.74","$27.72","$23.43","$30.71","$19.75","$24.98","$18.28","$23.53","$16.48","$17.47","$15.00","$25.14","$27.48","$23.41"
"2021","$23.74","$33.43","$25.92","$37.11","$21.85","$29.46","$26.49","$35.94","$20.26","$26.46","$19.96","$25.94","$28.84","$40.41","$20.88","$28.01","$20.98","$27.56","$23.78","$31.15","$19.69","$25.14","$18.48","$23.86","$15.87","$16.46","$15.02","$26.10","$28.97","$24.03"
"2020","$24.09","$33.95","$26.56","$37.60","$22.53","$30.01","$27.22","$36.38","$20.79","$27.16","$20.00","$26.40","$29.59","$40.78","$21.44","$28.59","$21.30","$28.23","$24.05","$31.62","$20.05","$25.95","$18.29","$24.03","$15.29","$16.11","$14.11","$27.38","$28.68","$26.46"
"2019","$22.94","$31.71","$24.75","$35.14","$21.01","$28.02","$25.49","$34.24","$19.19","$25.16","$18.90","$24.53","$28.68","$38.48","$20.13","$26.29","$20.20","$26.19","$22.98","$29.67","$18.88","$24.20","$17.92","$22.45","$15.34","$16.21","$14.08","$24.97","$27.08","$23.46"
"2018","$22.52","$31.16","$24.30","$34.67","$20.54","$27.38","$25.04","$33.88","$18.33","$24.57","$18.29","$23.82","$27.99","$38.17","$19.51","$25.77","$19.60","$25.64","$22.70","$29.25","$18.13","$23.55","$16.94","$21.52","$14.62","$15.38","$13.48","$24.35","$26.18","$23.00"
"2017","$22.46","$30.51","$24.52","$33.71","$20.38","$27.07","$25.00","$33.05","$18.68","$23.97","$18.65","$23.52","$27.58","$36.87","$18.97","$25.35","$19.22","$25.12","$22.48","$28.94","$17.94","$22.78","$16.44","$21.45","$14.22","$14.98","$13.24","$24.41","$26.05","$23.22"
"2016","$22.12","$30.29","$24.35","$33.60","$20.16","$26.71","$24.58","$32.68","$18.89","$24.11","$17.82","$23.28","$27.40","$36.67","$19.11","$25.62","$19.01","$24.96","$22.08","$28.42","$17.80","$22.82","$16.40","$21.07","$13.88","$14.58","$12.93","$23.18","$25.28","$21.71"
"2015","$21.88","$29.69","$23.76","$32.91","$19.66","$26.22","$24.41","$32.11","$18.08","$23.72","$17.21","$22.53","$26.85","$36.10","$19.15","$25.06","$18.47","$23.99","$21.77","$27.84","$17.38","$22.61","$15.59","$20.62","$13.90","$14.50","$13.04","$23.39","$26.25","$21.32"
"2014","$21.27","$28.57","$23.29","$31.41","$19.51","$25.53","$23.71","$30.79","$17.95","$23.15","$16.72","$21.69","$25.87","$34.34","$18.77","$24.04","$17.96","$22.93","$21.00","$27.02","$17.01","$22.41","$15.48","$20.02","$13.24","$14.13","$11.98","$22.38","$24.74","$20.69"
"2013","$21.30","$28.75","$23.64","$31.83","$19.71","$25.45","$23.80","$31.03","$18.47","$23.32","$16.49","$21.55","$26.27","$34.89","$19.63","$24.48","$17.08","$22.78","$21.10","$26.93","$17.64","$22.36","$15.68","$19.89","$13.00","$13.81","$11.95","$21.32","$23.23","$19.95"
"2012","$21.29","$28.63","$23.67","$31.80","$19.75","$25.23","$23.90","$30.90","$18.00","$23.31","$16.43","$21.34","$26.69","$34.82","$18.86","$24.62","$17.29","$22.54","$21.16","$26.71","$17.19","$22.24","$15.45","$19.79","$12.81","$13.59","$11.76","$21.61","$23.00","$20.62"
"2011","$21.64","$28.46","$23.54","$31.31","$19.99","$25.41","$23.70","$30.56","$18.48","$23.30","$16.35","$21.39","$26.36","$34.17","$19.08","$24.29","$17.12","$22.36","$21.16","$26.77","$17.77","$22.50","$15.83","$20.03","$13.08","$13.80","$12.11","$21.94","$23.53","$20.86"
"2010","$22.05","$29.07","$24.25","$32.22","$20.19","$25.77","$24.23","$31.19","$19.08","$23.72","$16.79","$22.07","$27.27","$35.19","$19.87","$24.77","$17.60","$23.38","$21.12","$27.07","$18.22","$22.88","$15.62","$20.24","$13.40","$14.21","$12.42","$22.32","$24.27","$21.06"
"2009","$22.10","$29.13","$24.80","$32.52","$20.17","$25.60","$24.36","$31.17","$19.19","$23.71","$17.33","$22.27","$27.63","$35.46","$20.41","$25.04","$18.38","$23.59","$21.52","$26.80","$18.32","$22.64","$15.88","$20.41","$13.69","$14.41","$12.73","$22.87","$25.18","$21.38"
"2008","$21.67","$28.40","$24.22","$31.55","$19.98","$25.04","$24.03","$30.37","$18.44","$23.04","$17.06","$21.73","$27.16","$34.32","$19.89","$24.18","$17.87","$22.98","$21.19","$26.24","$17.42","$22.09","$15.83","$19.93","$13.91","$14.83","$12.66","$22.97","$24.11","$22.24"
"2007","$22.16","$28.30","$24.00","$31.39","$19.65","$24.96","$23.83","$30.30","$18.50","$23.17","$17.09","$21.61","$26.99","$34.23","$19.53","$24.24","$17.82","$22.73","$21.14","$26.13","$17.81","$22.27","$15.51","$19.97","$14.27","$15.42","$12.88","$23.08","$25.26","$21.72"
"2006","$21.91","$27.99","$24.13","$30.97","$19.67","$24.75","$23.61","$29.89","$18.82","$23.28","$16.80","$21.08","$26.59","$33.66","$19.79","$24.57","$18.17","$22.17","$21.15","$25.86","$18.21","$22.21","$15.30","$19.46","$13.98","$14.94","$12.72","$22.87","$24.32","$21.92"
