Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1980-11-01,98.49612,97.38204416666667,-0.3497016245865625,85.6,81.59166666666667,13.584686774942,7.2,6.416666666666667,8.298171589310833,negative,positive,positive,Lean to Bad
1980-12-01,98.12267,97.44394666666666,-0.21124204612263942,86.4,82.38333333333334,13.50172215843859,7.3,6.533333333333334,10.578279266572643,negative,positive,positive,Lean to Bad
1981-01-01,97.97219,97.486225,-0.1021066575214391,87.2,83.15,13.321976149914839,7.4,6.658333333333332,13.012729844412995,negative,positive,positive,Lean to Bad
1981-02-01,97.87602,97.53790166666666,0.03335798980859117,88.0,83.9,13.085476805571172,7.5,6.791666666666667,15.439093484419274,positive,positive,positive,Lean to Bad
1981-03-01,97.97713,97.64326166666666,0.2542825299725493,88.6,84.60833333333333,12.748473070516365,7.6,6.925000000000001,17.705382436260653,positive,positive,positive,Lean to Bad
1981-04-01,98.29424,97.81017666666666,0.5583440305392928,89.1,85.29166666666667,12.373737373737391,7.6,7.05,19.491525423728785,positive,positive,positive,Lean to Bad
1981-05-01,98.57343,98.00327833333334,0.8818286628524907,89.7,85.95833333333333,11.985669308435543,7.6,7.158333333333332,20.646067415730318,positive,positive,positive,Lean to Bad
1981-06-01,98.66861,98.17116,1.1296072149598935,90.5,86.625,11.606184238780326,7.6,7.258333333333334,21.47838214783824,positive,positive,positive,Lean to Bad
1981-07-01,98.72352,98.29566999999999,1.2688760995671178,91.5,87.36666666666666,11.413390010626978,7.5,7.333333333333333,21.379310344827584,positive,positive,positive,Lean to Bad
1981-08-01,98.69816,98.36592416666666,1.3010599085293562,92.2,88.11666666666667,11.246712256707013,7.5,7.391666666666667,20.680272108843532,positive,positive,positive,Lean to Bad
1981-09-01,98.43214,98.37006666666667,1.222906926224443,93.1,88.88333333333333,11.104166666666648,7.5,7.441666666666666,19.70509383378014,positive,positive,positive,Lean to Bad
1981-10-01,98.03655,98.322565,1.0658120222366563,93.4,89.60833333333333,10.9128416709644,7.5,7.483333333333333,18.62615587846763,positive,positive,positive,Lean to Bad
1981-11-01,97.67525,98.25415916666667,0.8955603750804286,93.8,90.29166666666667,10.66285364109898,7.6,7.516666666666666,17.142857142857125,positive,positive,positive,Lean to Bad
1981-12-01,97.62931,98.21304583333334,0.7892734161287551,94.1,90.93333333333334,10.37831276552701,7.7,7.55,15.561224489795912,positive,positive,positive,Lean to Bad
1982-01-01,97.73609,98.19337083333333,0.7253802609890059,94.4,91.53333333333332,10.082180797755026,7.8,7.583333333333333,13.892365456821043,positive,positive,positive,Lean to Bad
1982-02-01,97.64794,98.17436416666668,0.6525283906302581,94.7,92.09166666666665,9.763607469209346,7.9,7.616666666666667,12.147239263803677,positive,positive,positive,Lean to Bad
1982-03-01,97.51769,98.1360775,0.5047105401043472,94.7,92.60000000000001,9.445484093371427,8.1,7.658333333333332,10.589651022864,positive,positive,positive,Lean to Bad
